"selection1_name","selection1_selection2"
"""each flight gets worse and worse""","✅ Trip Verified | Atlanta to Las Vegas. The process to get to the gate is slow and stupid. It seems they could do it more efficiently but would rather annoy everyone. There’s never enough room to put your carry on because they don’t enforce carry on size. One suitcase will fill an overhead bin where three carry ons should go. I had to sit with my legs crossed in my seat for my whole flight - very uncomfortable. The staff on the flight is not courteous or helpful. And who thinks some wheat cheezits are good? Very disappointed. It’s like each flight gets worse and worse. It’s almost worth taking your chances of getting pulled out of your seat and just going with another airline."
"""very good airline to fly""","Not Verified | Delta is a very good airline to fly on. we flew from Jacksonville to Atlanta. the plane was old, but had new IFE monitors. The staff on the plane and on the ground were very nice. I am looking forward to fly with Delta again."
"""What a great team""","Not Verified | Mobile to Raleigh. My son was sick and unable to make the flight so I called Delta customer service and they were just the best. Did a refund for his ticket without any hassle of any kind. What a great team you have that treated us like real customers in all areas of your business. Will fly Delta only now."
"""Unbelievable Delta""","✅ Trip Verified | Washington Dulles to Atlanta. I arrived to the airport ahead of schedule about 1 to go thru processing & enough time for my flight. The plane arrived, the passengers got off & we started boarding the plane about 4:45. While sitting for about 30 minutes the stated they was looking into some things & would update shortly. It was after 7 before they came advising we had to get off the plane, it couldn't fly because of navigation that our flight would leave at 9. While sitting & waiting the pilot comes on to say sorry folks I can't fly you out at 9 that he would reach his 20 hours so trying to round up a crew to fly out at 1:20. Everyone all upset so they start putting people in hotels & getting a taxi. The guy in front of me got the last room available so only other recourse would be pay out of pocket ourselves. I advised that I had an event that morning in Bryon at 11am was there any other flights so I was eventually able to grab a standby. My ticket says wheelchair assistance because I cant do all of the walking in the airport due to disability. So I get to Atlanta airport no wheelchair & to top things off my baggage with all my things I needed was no where to be found. I fill out a baggage claim. Saturday evening my baggage was delivered. I submit a complaint online thru Delta to get a response by email saying they was sorry & unfortunately couldn't assist. My thought process is after everything I had been thru for an airline to not think enough to at least pick up the phone to call your customer was just as bad as the entire experience on Friday. Unbelievable Delta, really unbelievable! Not to mention the entire time sitting on the plane did you offer crackers or juice will everyone sitting there cramped up & uncomfortable."
"""got different seats than booked""","✅ Trip Verified | Amsterdam to Detroit, 26 September 2019 Premium Select. Check-in on line impossible, stating that a change had occurred and that I was allowed to amend my flight at no extra cost. Not a real option as the rest of the trip had already been booked and partially paid for. Arriving at the check-in counter at Amsterdam Airport we got different seats than booked. Explanation: Delta had flown in with a different aircraft. But we were assured that we would nonetheless have Comfort Plus seats being ‘the equivalent of Premium Select’. This is, of course, not the case: The difference between Comfort Plus and Premium Select is 4 inches of legroom less, no leg support and no 7 degrees more reclining seats; a smaller screen and no personalized service etc. Features reflected in the price difference. The big blow, however, came inside the plane. One can try to call any seat a Comfort Plus seat, but not a main cabin seat with 9 instead of 8 abreast. Also, dinner came on the same tray and with the same quality as the rest of the cabin, The menu circulated in advance was clearly marked ‘International Main Cabin’. Checking the safety instructions in the seat pocket, it turned out that the plane in question was a Boeing 777-200 in a configuration not available on Delta’s web site. Probably an older version, because my table was hanging toward me, making my food tray almost landing on my lap. What I reproach Delta most of all is that they were not straightforward. A plane replacement might happen. In that case it would have been correct to let Premium Select passengers know, with excuses and an offer to compensate for the inconvenience. This has not happened."
"""she hears the military excuse""","Not Verified | My flight coming into ATL was delayed by 20 minutes and had 25 minutes until my next flight left for Fayetteville. I was so worried I wouldn't make it but the flight attendant on the flight coming into Atlanta assured me they would wait for me, but I still ran my heart out to the next gate. They had just called for last boarding call and the plane was still there. I explained i had no baggage and am military and really needed to board three plane. It was 2124 and the plane was scheduled to depart at 2131. The lady told me she hears the ""military excuse"" but there's nothing to be done. I understand there is a schedule but this was the last flight into Fayetteville. Every other airline, like southwest, will hold the plane for a small amount of time for passengers with small delays. Delta ruined my chance of getting home before work and I will rethink flying with them again. I want a company that supports thir passengers, especially when that company is the cause of the delay."
"""Don’t ever trust your luggage""","✅ Trip Verified | Minneapolis to Fargo. Don’t ever trust your luggage in the hands of this incompetent company. My wife and I purchased a brand new away bag since our old luggage had seen its better days. We bring it with us for the first time and while checking our bag the lady behind the counter literally threw our luggage and bounced it off the wall and onto the conveyor belt. We mention that was rude and she apologizes. Then we get to our destination and our bag isn’t there to greet us. Great. Glad that’s the second time in a row we have been without our luggage in 2 trips. Delta batting 1000 right there. Fast forward 2 days we get our bag to the airport and the baggage guy in Phoenix is a little more careful with our bag but not much. We get home finally and our zipper is destroyed, our name tag is completely ripped and the new bag is scratched. Naturally, we decide to speak to a Delta representative at this point and he informs me it’s minor damage and that it’s probably not worth my time to make a claim since Delta surely won’t do anything about it anyways. Forget Delta."
"""will never fly Delta again""","✅ Trip Verified | Tokyo to Baltimore via Minneapolis. I will never fly Delta again after what I went through here in Tokyo. Understandably they canceled flights for Saturday October 12th due to a typhoon, but our flight was the following afternoon - all Delta flights on Sunday and Monday are canceled despite the fact that the typhoon has passed by Sunday morning and the majority of other airlines are flying this afternoon and tomorrow. Instead of compensating us for the extra 3 days we are stranded in Tokyo or adding additional flights they are absolving themselves of any blame and forcing their customers to pay over $500 out of pocket for the multiple days we are stranded in Japan. You’re a multi billion dollar corporation and you can’t even offer your customers some kind of compensation when you made a mistake and canceled flights far too early? It’s disappointing but enlightening because it showed me the type of airline you are and you’ll never get another dollar from me."
"""worst airline I have ever travelled""","Not Verified | Detroit to Fort Lauderdale. Delta is by far the worst airline I have ever travelled with. They do not care about their passengers. The workers have 0 idea anything about the planes or the flight. cannot express how bad they are. nobody should fly them."
"never put your faith in this company""","✅ Trip Verified | Portland to Bloomington via Atlanta. My flight landed at 830pm at ATL so I could hit a connecting flight at 9:07. We weren't able to unload because another plane was at the gate we were suppose to pull into. Instead of pulling into a different gate, we sat there for 20 minutes. We finally got to a gate and it wasn't until 9PM that the first person was able to get off the flight. They promised that nobody would miss their connecting flights. Turns out they did not do anything to prevent this. My flight to BMI took off at 9:02PM (suppose to be 9:07PM). I got to the gate at 9:09PM with no plane in sight. There were countless other people who had missed flights due to this airline. The best part was it was a gorgeous day out so it was really just their lack of commitment, maintenance, and planning by the airport. I wish I could create a work environment where I just have to say, ""I'm sorry for not being able to achieve what I said would happen but here are the reasons"". I ended up sleeping at the airport as I imagined I'd get less than 8 hours of sleep if I went to their ""discounted"" hotel (not free), go through security at a big airport, and weave my way around of a mass amount of people to get to my gate. Summary is I missed my grandma's funereal because a company can't uphold it's scheduling. The good news is they got me there eventually, got me a ticket to the next flight, and I was able to see my family. Please never put your faith in this company. Always make sure there's another flight after and if there is, understand that you still might not get onto that flight because it was all already booked. Always look at the airport's policy on missed flights. You'll be amazed at what they can get away with when compared to EU flights."
"""Worst airline with flexibility""","Not Verified | Worst airline with flexibility on changing flight times if you purchased a basic economy ticket and worst customer service too. I fly a lot for my job and will never fly Delta again. I ended up getting a work meeting during my PTO and had to get back to Boston earlier than my previous ticket was for. They told me I had to buy a whole other ticket ($200). I couldn’t take the meeting from the airport because my computer died and I needed my charger which I left at home on accident, besides I didn’t think I would need it. I was already having a bad day and Delta made it worse with their bad customer service. They told me that purchasing another ticket was all I could do, but then after pleading with the customer service rep they told me I could stand on standby and pay an additional fee if there were additional seats on the plane. If they said that first, this all could have been avoided. $75 charge for stand-buy, on my top of the $170 ticket."
"""This flight was very good""","✅ Trip Verified | We found a great deal from LaGuardia to Rome via Atlanta on Delta and could not pass up the opportunity. This flight was very good. The IFE on the plane was great, with lots of selection and high quality. Flight Attendants handed out earbuds to use for the screens and the plane was in good condition. A blanket and pillow were provided as well. We ordered the kosher meal and everything tasted good. The cabin crew were very nice and service was quick. I recommend Delta for long haul."
"""food was actually very good""","Not Verified | Flew from Idaho to Amsterdam via Seattle. Small jet out of Boise, Emberer. Short flight all on time no issues at check in. Seattle to Amsterdam, check in fine, was in Premium Economy. Boarding went fine, seat was ok (got a few hours of sleep). Seatback entertainment was good. Service, food was actually very good. Snack was typical Delta cookies, which are great. Dinner was a chicken dish which was tasty, sandwich snack (turkey if I remember) was ok. Breakfast was a pastry and yogurt. All were good no issues at all. Flight Attendants while available were not very friendly. One kind of scowled most of the flight. Other than that all was good"
"""darkness of failure""","Not Verified | Paris to San Francisco. Flights are always great with this company. So far, so good. But I recently have been really disappointed. I had to cancel a flight, I sent one ticket to the support because the cancellation process didn't work on their website and app. I didn't receive a word back from them. Right now, It's my fourth ticket and I swear that I'll never ever take this airline again. Customer Service is really important in a company. If you don't get that, you embrace the darkness of failure."
"""the temperature set too low""","✅ Trip Verified | Seattle to New York. The red eye flight was late, full, and the captain apologized that the WiFi was not working. Just as well as I slept most of the time. One really annoying thing in the cabin was that the temperature set too low and even though I had a blanket I was cold. Normally, I tend to get hot on a plane and it was one of the few times I got cold. Fortunately, I had a sweater for this kind of situations and I got to sleep without freezing. The plane landed on time. I cannot comment on IFE or food as i did not get to view and eat them respectively. I think I do remember is that the flight attendants were ok, not being rude or disinterested. Based on some of the other reviews I am thinking the crew was a more professional than normal. But, then this is the first time flying on Delta."
"""experience was better than I expected""","✅ Trip Verified | New York to Seattle. Lining up to get checked in at one of the economy counters, the Delta worker told us to go to the premium check-in counters on the other side which had far fewer people. The lady at the counter processed us quickly and we were making our way to the security line. So, that was a good start to our journey back to Seattle. The flight left on time and as it departed late afternoon, I got to eat a meal on Delta and it wasn't as bad as I was expecting. It was average quality airline food. The IFE was reasonable for a domestic route. The typical reviews I read of US-based airlines mention how terrible the flight attendants are. However, the flight crew on this flight was professional and courteous. So, I thought I was fortunate to get a good crew. Upon reading little more on the US based airlines, it seems Delta has a better operation and more motivated workforce than American or United. Well, I hope they keep improving as all of them have a long way to go to compete effectively with many of the Middle Eastern and Asian airlines. If it wasn't for the US government protecting the domestic market for these carriers from their overseas competitors, they would have stopped operating long time before they went through their multi-year bankruptcy. Sorry, I am digressing from the flight experience. Overall, I enjoyed the flight back to Seattle and the experience was better than I expected. So, I was content that it was uneventful, landed on time, and I didn't lose my luggage."
"""extremely slow, uncooperative, and rude""","✅ Trip Verified | Just thought I'd share my frustrating experience. I was on my way to an important out of state interview and I had a very narrow time gap to shoot, so I thought I'd choose Delta to be safe because I was under the impression they were more reliable. There was a lay over in LAX. We landed on time but proceeded to sit for an hour and a half on the runway due to construction. We sat there so long that our connecting flight left without us. There were at least 5 other passengers on the flight scheduled for the same connecting flight to Columbus. By the time we got off the plane we had 20 min to get across the airport to make our flight. We told all the Delta employees on our flight and at the arrival gate to communicate to the other gate that we were coming. One other passenger even called in to Delta. We got there 5 min before the actual departure time, and they hadn’t held the plane. They left without all of us! The departing gate employees claimed they never received any kind of info from the other gate. Finally we were forced to get rebooked for another flight, the service desk ladies were extremely slow, uncooperative, and rude. The soonest Delta could get us to our destination was 6 hours after our initial scheduled arrival. The service was terrible. No one was helpful. No vouchers were offered or any kind of effort to make things better. We almost missed the back up plan flights because they took so long to get our flights changed."
"""Not for Business travel""","✅ Trip Verified | Salt Lake City to Toronto. Not for Business travel. I booked First Class tickets expecting to use their lounge at the airport when I arrived early to get some work done in a quiet environment. Access is reserved for trans continental flights only, no Domestic or Canada/USA access, but if you have an USA based American Express card you can have access. As a Canadian I cannot have a USA based American Express card so It is not possible to ever have access to their lounges for USA/Canada travel. Won’t be using Delta again, they do not cater to the business traveller."
"""under the age of 10 should be sat with parents""","✅ Trip Verified | Montego Bay to Indianapolis via Atlanta. After running from an international gate to a domestic flight, we arrived with minutes to spare to board our flight home. Children under the age of 10 should be sat with parents. Passengers should not have to negotiate and beg other rude passengers to switch seats with them. After spending $800+ on international travel I shouldn’t also have to do the job of a flight attendant just to sit next to my 7 and 8 year olds. Done with Delta."
"""very friendly and professional""","Not Verified | Yesterday I had the pleasure of flying on Delta Flight # 1104 from Atlanta, GA back home to Key West, FL. Unfortunately I didn't think to get names but the crew, Captain and attendants were awesome. I was particularly impressed by the fact they all smiled throughout the flight. They were very friendly and professional."
"""such a good economy trip""","Not Verified | Amsterdam to New Orleans via Detroit. Flight DL0133 September 22nd. Traveling for business. Top flight. Crew happy and friendly and attentive. Used humour and asked about special birthdays and anniversaries : nice touch. Aircraft clean and comfortable. Even Economy was good legroom and tv and USB port Turbulent trip but good and continuous outline by captain and crew. Meal was really good. Has been a long time since I had such a good economy trip. Will definitely use Delta again! Thanks to the crew."
"""haven't come across such rudeness""","✅ Trip Verified | During my flight from Detroit to Greensboro the flight attendant asked if an Asian married couple (sitting in front of me) could perform the duties of someone sitting at the exit window. The man said yes but his wife had broken English so the flight attendant asked again attempting to engage her in a conversation. Where was she going she asked the wife when the husband answered for his wife the attendant said rudely ""I wasn't talking to you I was talking to her"". I was shocked, intimidated and embarrassed for this Couple by her response. I still feel furious of how the couple was treated. I fly a lot to Greensboro and other places and haven't come across such rudeness by any of the airlines."
"""quite satisfied with Delta""","✅ Trip Verified | Sacramento to Denver via Seattle. I was quite satisfied with Delta, especially during my return trip. Even though I flew the Basic Economy, they put me in decent seats. The seats were not the most comfortable, but the legroom wasn’t terrible. The onboard entertainment was wonderful with a decent variety of shows and movies. Both ground service and flight attendants were all friendly. The SEA to DEN flight did the standard drink service, but also came around two additional times: one for coffee and one for water. Overall, I was satisfied with their service and amenities. I will consider Delta for future trips."
"""These flights were all great""","✅ Trip Verified | This review applies to three flights Honolulu Los Angeles on a Boeing 767. Los Angeles to Boston round trip Delta One Boeing 757. All 3 experiences were great. Honolulu LA was an internationally configured 767 so the seat was amazing The food was perfectly good above average domestic first class. LA to Boston round trip was an internationally configured 757 with Delta One service. While the layout on the 767 allowed for me to sit alone, the food etc was not quite as good as the Delta One flights. The Delta One 757 offered very comfortable 2x2 seating with upgraded service such as amenity kits..etc. On all flights the attendants were friendly and terrific, the entertainment plentiful and the experiences were all excellent. Delta One is a gigantic step up from Delta first domestic which can feel very cramped. These flights were all great."
"""cannot believe the lack of customer support""","✅ Trip Verified | I am beyond shocked at how disappointed I am in my experience(s) with my recent Delta flights. I have tried calling the corporate line 3 times and no answer. I sent them a complaint requesting a call back, nothing. So now I’ll share my experience with everyone I can. Our flight returning home from Hawaii was delayed 5 hours by the time we took off. It didn’t leave until after 2am when all was said and done. We had no where to go as everything closes early in Kauai, extra expenses related to rental car late return, had more expenses due to staying longer (food), had to try to make arrangements for kids that were supposed to be dropped off at our house by a certain time, and most importantly wasted my time and caused a lot of unneeded stress. I think of experiences I have had with companies in the past and this one far surpasses any negative experience I have had in the past. I called when we realized it was delayed, which was further delayed once more. I got a CS person that really was not helpful at all. They offered $100 for my troubles. I asked for a manager and he told me that is all they could do. Got the manager and she mentioned they might be able to do a bit more and never recorded the call or offer. I was so frustrated that my friends I was traveling with decided to call as I was getting really frustrated. My screen did not work on the way to Hawaii. My wife’s screen did not work on the way back. I cannot believe the lack of customer support. Any business I can think of that I have had a negative experience with has tried to rectify the negative experience. I feel you have to beg for help with Delta. I personally feel Delta does not care about its customers. A follow up call or apology coming from Delta would have been highly appropriate. Frankly if I had this type of experience at my business we’d bend over backwards to make it right. Delta has not done squat! I think they figure they’re big enough it really doesn’t matter. Hopefully my feedback online everywhere I can think of will make a difference? Highly unlikely I think!"
"""always fly with Delta""","Not Verified | New York to Seattle. This flight was the best Delta flight I have been on, we left from JFK at around 7:40am (on time) and as soon as I stepped on the 757 the FA greeted me with a big smile and a warm welcome. I was wearing my Boeing T-Shirt and the FA's noticed and asked me if I wanted to go into the cockpit, I did. Just after take-off all of the passengers in premium and economy got complimentary breakfast, the sausage was a little cold but the scrambled eggs were great. About 50 minutes before landing into Seattle, me and the FO started talking in the front galley about planes and general aviation, it was great. The landing into Seattle was perfect, definitely buttered the bread. I will always fly with Delta."
"""terrible customer service""","✅ Trip Verified | Flight from Las Vegas to Atlanta (DL1523), September 18th. The worst experience I have had on a flight ever. We came 3 hours early and was forced to check in our carry on bags as some other passengers used our storage. The seat I was given had a broken seat belt and I was not checked on so at all so that was a safety hazard. The nightmare started when the flight was delayed. They were boarding groups 1 and 2 but a bunch of people who were from group 3 cut in and nobody checked. Our group followed the rules by waiting for the group we were assigned and it was a big mistake! All the storage was taken so we were forced to check our carry on bags. Staff were also very unorganized, unprofessional and never apologized. One of them at the front desk told me ""you can wait for another later flight but it was already 11pm"" when I had commented about our situation which was rude and made the situation worse. Then when we sat my seat belt was broken and no one checked. Then the flight attendant completely skipped our row for drinks and ignored us. After an hour of waiting and being patient for the hope that one flight attendant would notice my husband hit the button to calmly explain that we were skipped for drinks. We never received any apology for anyone and were treated as second class passengers. I always believed that Delta airlines had an exceptional reputation with excellent customer service but my opinion has now changed. Our experience after paying nearly $600 was not of an airline with high standards instead it felt like a cheap discount airline like Spirit or Frontier with terrible customer service. So sad and never again we will try to fly with you we will go with American or United the next time we travel."
"""frustrating process to get paid""","✅ Trip Verified | Paris to San Diego via Detroit. ""Corporate customer care"" is understaffed. Perhaps if they called it customer service, you would get some. After selling my seat, it took me a long, frustrating process to get paid. I avoid flying the American legacy carriers for a reason."
"""Customer service ridiculous""","Not Verified | Dallas Ft Worth to Atlanta. Customer service is ridiculous. First of all they lie and say the flight is full they cannot change my seat. How do you have people on standby and no seats available 30 minutes before a flight? Why didn't they tell me to wait and see if something comes up before they board their bystanders? The turbulence was awful."
"""When did Delta become such a bad company?""","✅ Trip Verified | Ft Lauderdale to Bogota via Atlanta. When did Delta Airlines become such a bad company? Checked in exactly 24 hours before my flights from FLL-ATL-BOG but only got one seat assignment. Called DL and they told me it was because I'd ""chosen"" a long connexion (their website offered it to me). I pointed out that in IATA area one a connexion is 12 hours so why did it not check me in for my connexion? No useful response. Was told to check-in again 24 hours before connexion flight. I did so and got a seat assignment but no boarding pass. Asked at counter at FLL and was told again it was due to long connexion time and that I should just check-in a fourth time at the gate. I did so and registered my dissatisfaction at having to check-in four times and this unpleasant woman said there was no reason why I shouldn't have been given a boarding pass in Atlanta when I asked for one. Delta advertised a dinner on the flight from ATL-BOG but it was a cold snack (turkey sandwich, two apple slices, and a small chunk of chocolate). To list this as a dinner flight you must serve a hot meal. This is false advertising. In-flight entertainment was good. The cabin crew never broke into a smile not even a ""Pan-Am Smile."" The flight was very cheap though so I guess I paid a Spirit Airlines fare so I got Spirit Airlines service. A note to US carriers: we Americans have bony bums so need a cushion to sit on -- your seats feel like you're sitting on a wooden board."
"""constant lying""","Not Verified | Cleveland to Minneapolis. Delta is a poor airline. I travel 30-40 times a year and have delays 30% of the time on Delta. What's annoying is the constant lying. Tell us you don't know rather than delay 5 times. It's all about the money as it's obvious customer satisfaction doesn't matter. I control about a million dollars in travel spend for my team who fly primarily on Delta. no more. I will no longer approve travel with Delta."
"""told there would be no refund""","Not Verified | About a week ago I decided to book a one-way flight with Delta out of Bismark to Minneapolis. Unfortunately, they were one of two airlines flying from there. Everything was going well and I purchased my ticket with a ""24 Hour Refund Guarantee."" What is very misleading about this is that the airline does not specify which 24 hours these are. You can only get a refund within 24 hours of purchasing the ticket, not before the flight takes place. So with this assumption that the flight could be canceled and refunded as long as there was a 24 hour in advance notice, I booked the ticket. Unfortunately for me, issues arose I can no longer take this flight. I tried to cancel the flight online, which I did, trying to get my refund, which I didn't. I then tried to call and get my refund, only to be informed that there is a $200 fee for canceling my flight, and I would only get back what the ticket was worth minus that, a whopping $18 (which can only be used towards another flight). This is at two-plus months away from the flight, there is plenty of time for them to find a replacement for my seat. After sitting on hold for thirty minutes waiting for a representative, I was once again told there would be no refund, so I asked them to reinstate my ticket. There was no way I was going to allow this company to get double the profit off of my seat, I'd rather it stay empty. I then asked them if the ticket could be transferred to another person, so I could get someone to purchase the ticket from me. The answer is no. Not only that, but the representative on the phone sounded just as frustrated as I was. Lesson learned: I have to click two or three different links to learn what exactly what a ""24 Hour Refund Guarantee"" is. On top of that, I should know not to trust what a big company shows at face value. Even if for some odd reason I would get the chance to take this flight, I wouldn't. I will never fly with Delta if I can avoid it. I wish I would have done my research in advance, or I would have seen all the bad reviews they had."
"""Delta changed our seats""","✅ Trip Verified | Seattle to Amsterdam. I purchased my two tickets months in advance, paying extra for premium economy in the bulkhead seats. One day before my flight, Delta changed our seats so that we are no longer next to each other. They offered no recourse other than accepting less desirable seats in the middle of the plane, and no compensation for giving us a less desirable situation. Overall rating, based on this totally unacceptable change is a 0."
"""find them to be consistent in their service""","✅ Trip Verified | Frankfurt to Detroit. Flown with Delta many times and I find them to be consistent in their service over time. It is not an extraordinary airline but a very decent one. The staff on the ground was mostly friendly and onboard very friendly. Decent meals, enough drinks, and very attentive staff. I particularly like the 767-300 for the 2-3-2 seat configuration. While it is an older plane (around 30 years old), the seat configuration has always been a plus. Would fly again."
"""never fly Delta again""","✅ Trip Verified | I had a flight from Portland to Phoenix via Seattle. They had no room on the flight for luggage, so they had me check my carryon. I asked the flight attendant, “can I get my carry on in SEA? I need my laptop.” She said, “absolutely! You can get it at the sky bridge with your ticket.” Then it’s time to connect and they overbooked the flight (per usual). I stay in Seattle because I have business here. so I ask them to go get the bag they promised me. Fiona at the counter was great and went to get my bag. She tells me I can pick it up at the baggage claim. I go there and find it in the company of the least friendly of all Delta employees. Finally, (I think) we’re reunited! Not so fast. The chick at the counter proceeds to tell me they are not allowed to short check bags and I cannot collect my bag. Naturally, she says this 2-3 times before I beg her to give me a solution. She tells me to proceed to ticketing so i can buy a new ticket to Seattle and collect my bag there. When I get to ticketing, I explain my story for the 3rd time. She explains that she needs to call global before permitting my bag return. So she calls global and insists I pay a fee to collect my bag. 45 minutes later and extra $$$ I have my carry on. Had any of the employees explained there may be an extra fee or a ridiculous process I may not have been so fuming mad. But they didn’t, nor did they have any compassion on my situation that was ultimately their problem. To be honest, I will go out of my way to never fly Delta again."
"""Very attentive crew""","✅ Trip Verified | LaGuardia to Chicago. Great flight. On time. Very attentive crew who were liberal with the drink pours. A pre-flight G&T is more than you get on most airlines. Lunch was a pad Thai salad that tasted great. All in all, very good."
