"selection1_name","selection1_selection2"
"""Very unprofessional""","Not Verified | Las Vegas to Columbus. The Male flight attendant had a favorite row. He spent half the flight standing and talking to them. By the time we got out drinks our ""snacks"" (fritos and baby cookies) were gone because he was so busy playing favorites. Very unprofessional when I spent over 1000 dollars flying with you guys this trip. Never again."
"""less than one star""","✅ Trip Verified | Salt Lake City to Charleston. I would give less than one star if I could. When paying to fly you expect to sit by your spouse not several rows behind. Maybe they should think about updating the seating arrangements"
"""lack of communication""","✅ Trip Verified | Baltimore to Boston. I pride myself on packing a carry on bag whenever possible, as opposed to checking a bag. I find it infuriating the lack of communication between the flight crew and the gate attendant checking tickets. Overhead bin storage for carry on luggage was cut off towards the end of the “B” group. For those who do not understand who SW operates, you are not assigned a seat. Based on when you check-in, you are either in Group A, B or C (#1-60). My fiancé and I were B45 and B46 and around B35 an announcement was made that no more carry on bags allowed because overhead bin space was full. No big deal, right? Well when you walk down the aisle and see five bins completely open, I was inspired to write this review. (That doesn’t include the bins that were partially full). See below for just a few photos."
"""They have never let us down""","Not Verified | Reno to Phoenix via Las Vegas returning PHX-RNO, Outbound both flights were spot on with departure. Ground staff great in Reno. We were a pound or two over on our luggage, but no problem. All check-in staff very friendly. Even TSA was accommodating when I forgot to remove my IPad from my backpack and had to get rescanned. Reno airport is always great. Flight left on time. Typical snack/beverage service, with a smile from attendants. Onward flight all the same out of Vegas to Phoenix. Reasonable time for baggage pickup. Then out of the airport. Both flights on a 737-700, reasonable legroom and comfort. Return from PHX-RNO on 737-800. Newish plane but seats less comfortable then the 700. Staff still great and seem genuine. Early departure and arrived 20 minutes early. No complaints. Southwest always deliver a great product in and out of Reno. They have never let us down over the years. Also they had free WiFi and movies on the 800 plane. I did not use so can’t comment but saw others using it with no problems."
"""asked to give a round of applause""","✅ Trip Verified | Denver to Spokane. A flight attendant did something I’ve never seen in more than 40 years of flying. As we were landing, she asked us all to give a round of applause for military on board. Inappropriate. Now lift up the Peace Corps. Teachers. Journalists. All who also do heroic work."
"""Southwest did not provide value""","Not Verified | Indianapolis to New Orleans. I have been a big supporter of Southwest in the past. I would drive the 2 hours instead of using the local airport, because of cost savings and a good flight. I flew in March with no issues, but this September was a different story. My flight to MSY was okay, but the return trip was another story. My flight was cancelled. I did get another flight to a city that was two hours from my destination. I had to drive to the other airport to pick up my car. Southwest lost my luggage and i had to wait several days for it to be delivered to my home. I incurred extra cost to get back to the other airport at such a late hour, and lost money by not getting back home at designated time. I called Southwest to ask about reimbursement for at least my hotel and rental car that was extra, but was told we do not cover those expenses. I have another flight next month, and I decided to just fly from the smaller local airport. My expenses are a bit more, but my time has value as well, and with what happened last time, the flight was not cheaper in the end. Southwest did not provide value and I see no longer to fly with them."
"""100 bucks wasted""","Not Verified | I used to love Southwest because of flight attendants being a pleasure that gave you peanuts. Last two flights to to get from Phoenix to Charleston staff had very poor attitudes to the point of being rude. To supposedly get a better seat we paid $50 for each of us (my wife and I) got a B position. 100 bucks wasted. Hopefully won't ever use them again. I used to write them compliment letters when Herb ran it."
"""never again use your airline""","Not Verified | Earlier this year we took a trip to New York and flew Southwest. On our return flight you cancelled the flight telling everyone there was lightning at LaGuardia and Southwest was not flying. You charged us $320 per ticket for a round trip. We should receive a 50% ($160) refund each for you not honoring your end of the contract. We received $115 each, curious as to what kind of math you used! No assistance of any kind was offered by your companies personal and we were told another flight wouldn't be available until the next day. The worst part is that it cost us an additional $900 to fly home to the wrong airport on Delta that day. We sat in the airport for nearly five hours waiting for our flight watching Southwest planes take off and land. Since this is the way you treat customers we will never again use your airline and urge others to do the same!"
"""absolutely terrible""","Not Verified | Chicago to St. Louis. I flew Southwest and it was absolutely terrible. The crew was rude and grumpy. One kept yelling at me to push my bookbag under the seat and it was as far as it could go because they ran out of overhead carry on storage room so they had to check everyone’s rolling carry-ons as checked bags. It was a mess. I will never fly Southwest again."
"""not use their automated system""","Not Verified | Salt Lake City to Cleveland . I just booked my flight through Southwest then booked a rental car through their same portal after that I booked by hotel. Saved me $53! I thought I had done well for myself. They booked by rental car for an hour and 20 minutes after my landing but my hotel they booked for the next day. Since I continued and confirmed my reservation it is nonrefundable. This is all automated and does not indicate that my check in would be restricted till the next day. I went in again thinking I had just not paid attention and done something wrong. It again tried to do the same thing. After 25 minutes with customer service did nothing but regurgitate the lines they had been taught (to admit to nothing and tell me I should have checked closer). When I told her I was their website trying the same thing again she wanted to hear none of it. I will fly with them in the future but will not use their automated system to book anything else."
"""uneventful pair of flights""","✅ Trip Verified | Flew Raleigh to Orlando return this past week on Boeing 737-700 aircraft. The inbound flight arrived 15 minutes early (and had 50 empty seats), while the outbound flight was full and on-time. Had no problems with the ground or plane crew in terms of service, the in-flight phone app entertainment worked fine, and it was an uneventful pair of flights. (Although it took 15-20 minutes for them to start unloading luggage at the claims area when I got back.) Getting TSA PreCheck helps immensely."
"Southwest Airlines customer review","Not Verified | Philadelphia to Orlando. Delayed. Two hours. I can’t get home because it is a late flight and there is no ground transportation to my home. No compensation for hotel or travel. I will probably have to Uber for $130. They will not compensate for the shuttle service I cannot make it to because of the delay. The response of their ground crew “sucks for you”. Never again. Oh yes, the flight was delayed to get here also."
"""seats were annoyingly uncomfortable""","✅ Trip Verified | St. Louis to Sacramento via Los Angeles with Southwest Airlines. The seats were annoyingly uncomfortable, but otherwise the flight was smooth. The “Evolve” interior in the 737-700 looks dated compared to the “Heart” interior found on the 737-800 and Max 8. The flight attendants were nice as well."
"""I’ll never ever book a flight again""","Not Verified | First time on Southwest Airlines from Salt Lake to San Diego and I’ll never ever book a flight again. When I travel with my wife I want to sit next to her, not some random strangers. I fly a lot but never will again with this company. Employees were rude and said things slightly offensive during announcements."
"""He was an angel in disguise""","Not Verified | Orlando to Philadelphia. I was trying to get my elderly mother on a Southwest flight to Philadelphia so she would be safe from Hurricane Dorian which was headed towards Central Florida. Regulations did not allow me to help my mother get onto the airplane and into her seat. The Gate attendant was extremely helpful to me as my mother was traveling with her little dog and I was very concerned that she would become confused as she has some dementia and would not be able to find a seat or get into her seat while dealing with her dog and her purse. The Gate attendant made sure that someone assisted my mother onto the airplane and helped her get her dog safely under the seat in front of her. Once all the passengers were on board, he made a point of coming over to me and assuring me that my mother was doing fine on the airplane and that the flight attendants would watch over her on her 2.5 hour flight into Philadelphia. I cannot begin to express my gratitude for his helpfulness that day. He was an angel in disguise and I really appreciate everything he did for my mother and her dog. Many thanks."
"""What a scam!""","✅ Trip Verified | We had to fly from Phoenix to LAX where we had a connecting flight from LAX to London from there. Our Southwest plane was 40 min late and we were running short on being able to make our connection flight in LA. Southwest announced that they were offering early boarding and early exiting for the late flight for $30 per person. We talked to Southwest employee about waiving that fee for us since the plane was late and jeopardized our connection flight. The employee said she couldn’t do that for us because we should have allowed more time for the connection flight. We had 3 hours. It seems that when Southwest is late it uses that to sell their customers early boarding and early exits because they know people with connecting flights are now running late and are forced to purchase these $30 extra tickets. What a scam! I showed up on time and waited for your plane that’s late due to you not being organized enough to get your customers in wheelchairs off the plane in a timely manner. Now you want me to pay extra for you being late? Horrible customer service!"
"""doesn't assign seats""","✅ Trip Verified | Las Vegas to Orlando via Nashville. On August 22 flight #2421 was over 20 minutes late arriving in Las Vegas. This caused the flight to leave Las Vegas over 50 minutes late this jeopardizing our connection flight #1296 in Nashville. The flight attendants then said they will hold the plane in Nashville until we arrive there. However, we paid for the early bird check-in because Southwest doesn't assign seats for their passengers. In order for you and your family members to sit together, you have to purchase the early bird check-in which assures you a place in line within the first 60 people. This does not work if your flight is delayed coming in and your connecting flight already boards everyone even the people who didn't pay for the early bird check-in. So you get screwed and lose your place in line which you paid for. So when they boarded us onto flight #1296 and we tell the flight attendant that we paid for the early bird check-in. The flight attendant says well we waited 20 minutes for your flight to get in. How is that the passenger's fault that the flight go in late? So they tell us to sit in the only available seats which are center seats not even in the same row. Also to make matters worse the seats are sandwiched in between 2 larger than normal-sized people. So I had to squeeze between 2 large people and my husband got to sit next to a 350lbs man who was partially in his seat so much so that he had to lay his tray table down to lean on it for the entire flight. Did the flight attendants care? Of course not because they herd people like cattle on these aeroplanes, they don't care if your flight is uncomfortable. The flight lasted 1 hour and 23 minutes to Orlando. When we got home. I called Southwest Customer Service and the only thing they said they can do from their end is to refund us the $12.50 each that we paid for the early bird check-in. They said to call their Customer Relations Department. On 8/30/19 I call Customer Relations and explain to the representative the situation and the terrible experience and she said she can only refund us $50 each in travel vouchers towards another Southwest flight. So this airline company takes your money, gives you a terrible flight experience and only gives you $50 each for your unsatisfactory experience due to their flights not keeping on schedule. I told the representative if Southwest assigned seats in the first place it would not have been a problem because no one would have sat in someone else's seat. We pay for the early bird boarding to get within the first 60 people on a plane so parties can sit together. Looking back in hindsight my husband and I should have walked off the plane and asked to be put on another plane where we would be able to board within the early bird boarding and not lose our place in line. I doubt if I will ever book another trip with Southwest."
"""professional and compassionate""","Not Verified | Columbus to Denver. I had a lot of anxiety about my trip. It was my first time taking my service dog on a plane. Every single staff member I encountered was friendly, professional and compassionate. Both flights and all 3 airports went smoothly. Truly appreciate the experience and will absolutely choose Southwest in the future. Thank you for getting us home safe and sound!"
"""canceled with no notice""","Not Verified | Original flight to Houston for first leg was canceled with no notice or explanation. Total trip was supposed to take 6 hours is now 14 hours. Rerouted to Dallas where most of passengers from Houston were on flight. I believe they cancelled the original flight to Houston to fill low passenger flight to Dallas. In Dallas now and have been shuffled around to multiple gates."
"""be the face of the airline!""","Not Verified | Salt Lake City to Denver. I was checking in and the woman at the counter (Nancy) gave the absolute best customer service I’ve had with any airline! She helped me with my bags and was just overall, a really kind person. She should be the face of the airline!"
"""28 hours to board the next flight""","✅ Trip Verified | On both flights from New York to Los Angeles and the return, Southwest cancelled one leg of the flight leaving me to spend the night in the airport on my own twice now in one month. Today I had to wait a full 28 hours to board the next flight. Never book with Southwest if you are not flying non-stop to your destination. Cancellations and delays are the rule and not the exception. The airline does not provide meal taxi nor hotel vouchers. Delays and cancellations are always magically due to weather even in perfect summer conditions according to the airline. The truth is that the airline does not have enough planes staff and pilots to cover slight delays."
"""flight attendants went over and beyond""","✅ Trip Verified | On this day, our flight was delayed due to storms. I am a copd patient who travels with oxygen. After a long day of traveling, I was running low on battery charge. The flight attendants went over and beyond what I needed to make me feel comfortable. And charged my batteries. The outlets at the airport are far and few that even work. And the outlets are always far from were the wheelchairs are placed. After a 5 hour delay we made it home. Thank you for all your help and assistance. And to all who took time out of their day to help me, thank you."
"""her attitude is the worst""","✅ Trip Verified | I flew Puerto Vallarta to Houston, pilot tried to land twice and was a bad storm, he good decided to come to Austin and get some gas. I am always some stress about airplanes and I have been handling pretty good, when I saw we were over the airport in Houston and had to go up twice I starting very nervous, the Captain explained the situation but was very stressful not your fault. I asked the stewardess if she can give me an alcohol drink and she answer in a bad attitude we cannot do that, I was so stressed. I understand sometimes you can’t but was the mean way she said, she was not nice with anybody please urgent put her in a customer service training; on the back of the airplane the other stewardess were serving sodas and taking care about customers she was only sitting at the time I asked for a drink. You have an excellent employees who always take care about customers and do amazing job but her attitude is the worst I have seen."
"""never had a bad experience""","✅ Trip Verified | Chicago to Norfolk via Orlando. Yesterday I got on board my flight to ultimately take me to Norfolk. The weather in Chicago was lightning and thundering so the pilot wisely put us back at the gate after finding out that we would not be taking off for sometime. They allowed us to get off of the plane so that we could use regular washrooms. It soon became evident that I was going to miss my connecting flight in Orlando which would ultimately take me to Norfolk. I expressed my concerns with the pilot who suggested that I cancel and re-schedule for today. I went to the desk and got a ticket and will be flying out today. In the meantime I had many questions come up regarding my rewards program and had to call customer service for two different issues. Every single person I got with was perfect at handling their job. I cannot give a high enough rating for this airline. I have never had a bad experience traveling on Southwest."
"""kept changing the time""","✅ Trip Verified | Milwaukee to Atlanta. My family and I were taking a vacation to St. Pete’s beach in Florida. Our flight from Milwaukee to Tampa Bay was at 6. We wanted to fly into Tampa and take a cab to the hotel where we would be staying. We could not fly directly to Tampa Bay so we had landed in Atlanta. Now that would’ve been fine if our two hour overlay didn’t turn into a 10 hour stay at the airport. We missed the first day at our hotel which we paid for. We had to sleep at the airport. And we could not meet the rest of our family who was meeting us down there. They flew on Delta. There was a storm in Tampa Bay at the time yet every single airline except Southwest was flying there. Delta and United were still flying to Tampa Bay. I am sad to say this is not the first time I have had an experience like this. At our 10 hour wait at the airport, the airline kept changing the estimation time from waiting to hours to adding an extra 8."
"""waste if you don’t have beverages""","Not Verified | Dallas to Denver. The staff taking drinks to people was nice, but I watched him talk to co-workers while people are looking around at least twice. $300 each way so $600 is a waste if you don’t have beverages."
"""they could have shown empathy""","✅ Trip Verified | Orlando to Milwaukee via Atlanta. Arriving to the airport from a business trip to be notified the flight was an hour delayed. Frustrating but understandable. Things can happen. A little over a hour later, received a text that the flight was canceled. Although it does text you new flights available, the process makes you pay for the new flight, so I didn’t process but went to the counter at the gate. There were over 50 people in a line dealing with the same situation. There were two ladies working the counter (there were additional stations open that more employees could have been deployed to move the line faster). I was in this line for 1 1/2 hours. Once it was my turn, no greeting from the employee, no apology and only one option was given for a new flight which was the following day with a layover making my direct flight into a much longer trip. I asked if Southwest was offering any compensation to their customers for hotel accommodations and the answer was “the weather in Milwaukee was going to get really bad and by the time the flight would get there, the airport would be closed, so no, they don’t compensate for weather”. That statement was false. I live in Milwaukee and no rain or storms were in the forecast. I left the counter not feeling valued as a customer. In customer service, how you handle a difficult situation is where you gain loyalty. Not one of those 50 customers walked away feeling valued or that anyone was doing all they could to help. I understand a regional airline like Southwest doesn’t have as many flights as the other airlines to try and help people, but they could have shown empathy, be apologetic, offered some type of compensation even if it was a voucher for their airline. But we were all just a number in a line. I will suggest to my company and to my husband’s company to think about this before booking their next flights."
"""simple easy and on time""","✅ Trip Verified | Las Vegas to Oakland. Always a pleasure simple easy and on time. No problems no questions. Simple and clear pricing. Why is united so all over the place? Always trying to make you feel like a class."
"""get extra cleaners to come around""","✅ Trip Verified | Chicago to Austin. I understand flight attendants have very minimal time to check through the plane before the next flight of people is being shoved on but I think after this flight that really needs to change. My 18 month old loves to pull out the magazine and info cards in the seat pockets and on this flight they were absolutely disgusting. One was sticky with who knows what, one pocket had so much trash fall on our stuff it was hard to tell how the magazine and info stuff fit, then there was a coloring book left right on the aisle seat that they easily could've picked up. Again I understand there's not a lot of time, but that should maybe be adjusted or get extra cleaners to come around, I don't know but it was a gross way to start the journey home."
"""disappointed in the service""","Not Verified | Really disappointed in the service I received. I have TSA precheck but it notoriously does not show up on my boarding pass when I check in through the app. I saw an attendant when I arrived at the airport and was told there was nothing they could do to make the TSA precheck show up on my boarding pass. I’ve been flying for 2 years with TSA precheck and have never had this issue with any other airline. Very frustrating for a frequent flyer."
"""not be using Southwest again""","✅ Trip Verified | Pittsburgh to San Diego via Chicago. Crew is rude, non caring. Probably the worst flight experience that I have had. Cabin of plane smells of mold/mildew. The boarding process is the worst. I will fly any other airline, but will not be using Southwest again due to how much i paid to be treated so rudely."
"""Most uncomfortable plane""","Not Verified | Fort Lauderdale to Atlanta via Las Vegas. Most uncomfortable plane in existence. Plane appeared to be newer but the seats were so uncomfortable that my back took 4 days to correct itself. Could hardly move after a nice relaxing vacation. Put a huge damper on my week long cruise vacation. Would rather drive across the US then use this plane ever again."
"""giving up on this airline""","Not Verified | After 25 + years I am giving up on this airline. The free bag perk isn't even worth it any more. We flew out of Reno, Chicago, Denver, Newark and Phoenix, all within the past 2 months, & every flight was badly delayed, this last time causing US to pay for a hotel even though our whole trip was with them. To add insult they gave us a place at the end of their line on the next days flight when we had places way up towards the front on the flight they caused us to miss. Not one bit of compensation offered and we watched them give some other people $600 vouchers to get bumped because they overbook their flights. You lose my business both with your airline and with your credit card after being a loyal customer all these years, thanks for treating me like worse than nothing."
"""diminished with customer service""","Not Verified | Austin to San Diego. In February I flew with SWA from Denver to Austin. I arrived early at the airlines and was allowed to fly standby on an available flight. I explained this to the lady and she responded with, “we just don’t let random people on those seats, we would lose revenue” as she was holding my active duty military ID. Her supervisor then said, “you should have not bought such a restrictive ticket”. SWA has really diminished in the past years with customer service. Her attitude really was rude and unprofessional. Additionally if you do it at one airport you should do it at all or none."
"""SouthWest lost our luggage""","Not Verified | Our family flew on a direct flight from San Antonio to Orlando. SouthWest lost our luggage and claimed that it never left San Antonio. Southwest also admitted that they do not track passengers luggage. Sounds like a serous security issue to me, our luggage has been floating around San Antonio airport for a month and a half but no one at southwest can find it. How is Southwest allowed to run an airline business without tracking passengers luggage? What are those tags for, you put on our luggage ? Dealing with customer service was horrible. Luggage claims experience has been similar : rude and useless. We thought southwest cared about their customers. Apparently not."
"""This was a poor experience""","Not Verified | I am extremely disappointed with this airline. First time and last time for me. What a poor experience. I was supposed to fly from Orange County to Oakland. 1 hour 30 min before the flight, I got a text to tell me that my flight was cancelled. They booked me a flight the next day. The worst part: My original flight was nonstop (1 hour 30 min flight). However, the new flight was with a lay over through Las Vegas (almost 6 hours), even though direct flights were available. I received no compensation for this significant inconvenience. I had to call twice to get a flight from LAX to Oakland. In addition, I had to pay for an extra ride to a further airport and arrive very late at home. This was a poor experience with even worse customer service."
"""timing is not their thing""","✅ Trip Verified | Reno to Phoenix. I would say Southwest is unreliable in terms of timing, especially out of Reno. Sometimes they are on time, but I can say without hesitation, there are other airlines who are more reliable in terms of timing. Also Southwest aircraft are not the cleanest (food on floor, dirt between seats, etc). That said, they are cheap, flexible, easy changes, good bag allowance, good staff. But timing is not their thing."
"""Terrible customer service""","Not Verified | Las Vegas to Long Beach. Terrible customer service, they assigned us the seats number, but when boarding, much to our surprise, some people already occupied our seats, when we requested to seat together they said we have to pay 30 dollars more per person, we are already paid close to 300 dollars for the one hour flight; Highway robbery in America! We definitely flying Jet Blue next time, because they have the ability to guarantee our seats and no surprises!"
"""impressedwith the flight staff""","✅ Trip Verified | Pittsburgh to Phoenix. I am not a fan of flying. However, I want to say how impressed I was with the flight staff on flight 1703 from Pitts to Phoenix. (July 23, 2019) They were super friendly, accomodating, humorous and in general, overall rock stars. As a contractor, I know how you never hear the good things; the focus is commonly on the negative. I am sure it is very much the same for them. They immediately apologized to many of us for the flight delay (only delayed 30 minutes). And instantly went into ""go mode"" to make us comfortable and less stressed. If you have some capacity of letting them know the service they gave was above and beyond, it would be greatly appreciated."
"""belt for the luggage broke""","✅ Trip Verified | Baltimore to Lousiville. A belt for the luggage broke so we sat on our plane for over 1 1/2 hours. Very inconvenient when you were supposed to get home by 9 pm and had to get up at 6 am for work the next day!"
"""customer service was outstanding""","Not Verified | Portland to St. Louis. I haven't always been a Southwest fan but I wasn't able to make a recent flight due to unforeseen events. The customer service was outstanding! Very compassionate customer service and I will be a dedicated Southwest customer moving forward."
"""dissatisfied with my experience""","Not Verified | Baltimore to Fort Lauderdale. I have flown with this airline several times and have only come back for the low prices. The ground customer service is terrible. The people tell you different things, are often confused, and have a bad attitude. Both times i’ve flown southwest recently the plane has been overbooked and they also forced people with 2 carryons to check one, even though you are allowed to check two. The seats aren’t awful but they aren’t very comfortable either. Both time we have checked in practically right at the 24 hour mark when you are allowed to but we still end up in C class. It’s incredibly frustrating because I flew with my daughter who is 10. We were told there would be no problem getting us a seat together but when we got on not only were there no seats together but there was only middle seats left. She was really upset and scared to sit between two strangers. The pick your own seat just isn’t a good system in my opinion, it’s chaotic when you get on a plane, and stressful to find a seat. The on flight wifi is really low quality. The plane staff is fine but they in no way go out of their way to be helpful. I am overall very dissatisfied with my experience with Southwest and I will absolutely never fly with them again and unless you are a single flyer I urge you to choose a different airline too. The lower price is t worth the drop in quality. If you’re looking for a comfortable and low stress trip stay away from Southwest airlines"
"""told we could all board as family""","Not Verified | Indianapolis to Denver. I spent a lot of money on 6 tickets to fly to Denver for my brothers wedding. When we checked our bags in the lady at the counter told us we could board as family due to having 2 of my 4 kids under the age of 6. When it came time time board with family boarding the lady at the gate was trying to make my older boys ages 11 and 13 wait and board at the end with c class! She said only the parents and the children under the age of 6 could board as family. I spent more money on those tickets than probably anyone on that flight! I told the lady at the gate that I was told we could all board as family and she said no! For fear of being kicked off the flight I myself waited with my older boys and boarded last and we were all split up all over the plane and I couldn't get a seat close to my husband to help with the younger kids!"
